"outcome_type","animal_type","mixed_purebred","color_group","health_status","sex","neutered","age_norm","age_group"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.5,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Purebred","Brown","Healthy","Male","Neutered_Spayed",0.5,"Senior"
"Not_Adopted","Dog","Mixed","Black","Healthy","Male","Intact",0.5,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.318181818181818,"Adult"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Intact",0.681818181818182,"Senior"
"Not_Adopted","Cat","Mixed","Light","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Not_Adopted","Cat","Mixed","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Purebred","Black","Healthy","Male","Neutered_Spayed",0.318181818181818,"Adult"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.318181818181818,"Adult"
"Adopted","Cat","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.5,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.5,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Female","Neutered_Spayed",0.5,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Female","Neutered_Spayed",0.5,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.272727272727273,"Adult"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Female","Neutered_Spayed",0.272727272727273,"Adult"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.318181818181818,"Adult"
"Adopted","Cat","Mixed","Light","Healthy","Female","Neutered_Spayed",0.272727272727273,"Adult"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.5,"Senior"
"Adopted","Dog","Purebred","Light","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.5,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.272727272727273,"Adult"
"Not_Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.318181818181818,"Adult"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.5,"Senior"
"Adopted","Cat","Mixed","Light","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Not_Adopted","Cat","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.318181818181818,"Adult"
"Adopted","Dog","Purebred","Brown","Healthy","Male","Neutered_Spayed",0.636363636363636,"Senior"
"Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Not_Adopted","Dog","Mixed","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Not_Adopted","Dog","Mixed","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.318181818181818,"Adult"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Not_Adopted","Dog","Mixed","Light","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.272727272727273,"Adult"
"Adopted","Dog","Mixed","Light","Healthy","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Light","Healthy","Male","Intact",0.363636363636364,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.5,"Senior"
"Adopted","Dog","Mixed","Light","Healthy","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Light","Healthy","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.272727272727273,"Adult"
"Not_Adopted","Cat","Mixed","Light","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.318181818181818,"Adult"
"Adopted","Dog","Purebred","Light","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Not_Adopted","Dog","Purebred","Brown","Healthy","Male","Intact",0.363636363636364,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.363636363636364,"Senior"
"Not_Adopted","Dog","Mixed","Black","Healthy","Male","Intact",0.318181818181818,"Adult"
"Adopted","Dog","Purebred","Light","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Purebred","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.363636363636364,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Male","Intact",0.318181818181818,"Adult"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Cat","Purebred","Brown","Healthy","Male","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.727272727272727,"Senior"
"Adopted","Dog","Purebred","Black","Healthy","Male","Intact",0.5,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Purebred","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.409090909090909,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.409090909090909,"Senior"
"Not_Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.272727272727273,"Adult"
"Adopted","Cat","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
"Not_Adopted","Dog","Mixed","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.5,"Senior"
"Not_Adopted","Dog","Purebred","Black","Sick_Aged_Pregnant","Female","Intact",0.409090909090909,"Senior"
